"","Date","ACME","apcp","dlwrf","dswrf","pres_msl","pwat","spfh","tcdc","tcolc","tmax","tmin","tmp2m","tmpsfc","ulwrfsfc","ulwrfatm","uswrf"
"1","19940101",12384900,0,258.411389160156,220,102018.7890625,8.1,0.00333600006997585,0.00199999995529652,0.00204000005032867,284.368725585938,280.215661621094,282.276245117188,282.494512939453,364.402844238281,254.498986816406,47.8
"2","19940102",11908500,0.0320000000298023,280.803796386719,166,101302.5453125,11.5996204376221,0.00386600005440414,0.0739999990910292,0.0722599989268929,283.778649902344,279.706121826172,281.961096191406,282.210607910156,357.968994140625,231.872109985352,32.4
"3","19940103",12470700,0,226.446801757812,225,101981.9203125,6.67764663696289,0.00250005698762834,0,0.000840000003518071,277.356872558594,273.020599365234,275.604357910156,277.258227539062,335.240258789063,241.679412841797,49
"4","19940104",12725400,0,238.427673339844,226,102569.159375,5.72909545898438,0.00260242270305753,0.00399999991059303,0.00361999984452268,278.9537109375,275.105151367187,276.29794921875,277.403784179687,342.469555664063,244.429873657227,49.6
"5","19940105",10894800,0,258.332675170898,220,100760.8875,9.29031810760498,0.00313863251358271,0.0360000010579824,0.0385999993886799,283.412310791016,278.544158935547,282.828759765625,282.678216552734,353.840283203125,242.830712890625,46.8
"6","19940106",6639000,0,254.510556030273,222,100902.4890625,8.17040729522705,0.00299605615437031,0,0.0026200000429526,282.9572265625,279.047882080078,279.538745117187,280.908880615234,360.663330078125,258.074151611328,47.8
"7","19940107",13244700,0,211.02936706543,230.2,103097.3234375,4.43420186042786,0.000928000011481345,0,0.000500000000465661,270.734729003906,266.310620117188,268.402398681641,270.637286376953,308.053747558594,227.57585144043,52.6
"8","19940108",12927900,0,223.194400024414,230,102585.090625,5.72741947174072,0.00186799999792129,0,0.000200000003678724,275.207379150391,270.514025878906,273.658862304687,274.889819335937,322.3779296875,234.035018920898,50
"9","19940109",12600300,0,240.478555297852,217.6,101964.6140625,7.51601552963257,0.00287800002843142,0.0179999995976686,0.0165600003674626,278.69697265625,274.6732421875,277.743597412109,278.335083007812,334.978533935547,221.271899414062,45.2
"10","19940110",6406500,0.327999997511506,325.440783691406,136,101712.6328125,12.4726778030396,0.00589999994263053,0.0759999990463257,0.0770200003986247,284.357177734375,282.242523193359,283.433868408203,283.866021728516,370.394354248047,241.233697509766,26.2
"11","19940111",12743400,0,255.210266113281,228,102580.5328125,8.66178998947144,0.0041060000192374,0.00599999986588955,0.00781999978644308,280.721563720703,276.810760498047,278.700701904297,280.310321044922,352.926910400391,246.440032958984,48.4
"12","19940112",10453500,0,255.454467773438,230,102178.04375,8.87307815551758,0.00472495034337044,0.0119999997317791,0.0112600001972169,281.514367675781,276.499627685547,279.628741455078,281.709582519531,356.706170654297,245.574957275391,49
"13","19940113",12985200,0,252.55442199707,234,102010.3578125,8.34278202056885,0.00329012181609869,0.00399999991059303,0.00485999984230148,282.718402099609,278.592456054687,281.338201904297,281.596881103516,353.918298339844,244.480380249023,49.2
"14","19940114",13080000,0,254.060067749023,234,102163.909375,8.72656497955322,0.00296453293412924,0,0.000480000021343585,282.691137695312,279.216882324219,281.327264404297,282.022589111328,358.399725341797,249.594140625,49.8
"15","19940115",11826300,0,222.507794189453,234,103159.828125,7.93231048583984,0.00150264762341976,0,0.00259999994887039,272.002386474609,269.006439208984,270.597918701172,273.012957763672,315.947033691406,235.765090942383,49.8
"16","19940116",1974000,1.07199997007847,318.663830566406,38,101441.91875,17.7671367645264,0.00452622720040381,0.413999998569489,0.414020004868507,277.381555175781,274.489154052734,276.526123046875,276.704718017578,329.193536376953,189.139105224609,6.2
"17","19940117",13541700,0,217.4234375,242.6,102918.6828125,6.46591119766235,0.00157227732706815,0,0.000599999990663491,271.488092041016,267.894989013672,269.645391845703,272.267687988281,313.247650146484,226.059158325195,51.6
"18","19940118",13673700,0,205.093072509766,243.2,103762.7640625,7.48790731430054,0.000985999999102205,0,0.000859999976819381,266.588354492187,263.789233398437,265.505731201172,268.576348876953,294.948583984375,226.973980712891,51.4
"19","19940119",6796800,0,226.234826660156,243.6,102608.4890625,8.26663703918457,0.00229131220839918,0,0.00023999999393709,273.434252929687,269.208306884766,272.613488769531,273.49697265625,313.656188964844,240.126989746094,51.2
"20","19940120",5658900,0.0480000004172325,271.611877441406,195,103405.625,9.91454849243164,0.00280456771142781,0.0360000006854534,0.0370600004214793,275.005181884766,272.051531982422,273.880462646484,275.249774169922,325.229608154297,247.951116943359,39.8
"21","19940121",7073400,0.00399999991059303,265.54599609375,178.4,103684.4953125,13.1413297653198,0.00332161099649966,0.0259999994188547,0.0277000003494322,275.584204101562,271.515087890625,274.486505126953,276.120812988281,325.808355712891,241.832043457031,35
"22","19940122",3354000,0.691999995708466,299.615045166016,220.8,102819.2484375,21.3442260742187,0.00519881621003151,0.140000002458692,0.141359997581458,281.388116455078,278.235101318359,280.567419433594,281.803363037109,355.856323242188,210.911016845703,43.4
"23","19940123",2579700,0.0200000002980232,289.854968261719,245.4,102120.121875,9.82349681854248,0.0058360000140965,0.00999999977648258,0.00915999984135851,283.926763916016,280.08984375,282.770806884766,284.144781494141,368.535620117187,262.507513427734,50.2
"24","19940124",2387700,0.114000001549721,334.726452636719,167.8,101551.9890625,16.0454410552979,0.00757955461740494,0.0899999998509884,0.088680000603199,286.011590576172,283.456292724609,285.591955566406,286.142669677734,378.18125,229.403829956055,30.2
"25","19940125",8390700,0,281.670587158203,236.6,101465.390625,8.84002685546875,0.00483194403350353,0.0260000005364418,0.0285600008326583,287.774285888672,283.267321777344,285.921228027344,286.89521484375,384.803576660156,241.719033813477,47.4
"26","19940126",7326600,0.222000004723668,309.287927246094,210.2,100609.3578125,8.02773027420044,0.00496167531237006,0.0899999987334013,0.0875,288.091729736328,285.712744140625,287.248779296875,287.586242675781,387.520263671875,216.142700195312,40
"27","19940127",10743900,0,251.256268310547,231.4,101293.8421875,7.04115476608276,0.00231862720102072,0.0679999992251396,0.0700200007166131,278.947882080078,275.362561035156,277.24580078125,279.057385253906,344.569622802734,206.025366210938,45
"28","19940128",12812100,0,231.6,240.4,102266.6578125,6.36160278320312,0.0022788729518652,0.0179999995976686,0.0173000006121583,275.697338867188,272.412371826172,274.649969482422,276.406854248047,330.130316162109,212.647717285156,47.8
"29","19940129",9065100,0,261.684387207031,216,102235.5328125,8.23611068725586,0.00271149398759007,0.153999998793006,0.155880000046454,276.862902832031,273.019738769531,275.369366455078,277.730102539062,338.205596923828,186.274142456055,40
"30","19940130",3954900,1.15399998724461,267.267620849609,102.8,102866.821875,8.65740852355957,0.00277698752470314,0.378000001609325,0.37669999152422,272.690533447266,271.224572753906,271.867700195313,272.743835449219,313.31298828125,179.37610168457,28.6
"31","19940131",15324900,0.0280000001192093,210,272,103602.2796875,3.75447702407837,0.00135142535436898,0.0159999996423721,0.0165200002491474,269.944091796875,265.376306152344,267.820819091797,270.045495605469,304.725622558594,216.464996337891,76.6
"32","19940201",15259800,0,210,276,102912.2,4.27964391708374,0.0017280604923144,0.00999999977648258,0.00965999998152256,273.505676269531,268.950238037109,272.400372314453,273.300610351563,311.842236328125,226.04111328125,68.6
"33","19940202",15264900,0,219.211389160156,277,102528.775,4.37704029083252,0.00195974914822727,0.0119999997317791,0.0109800001140684,276.126867675781,270.146771240234,274.503729248047,275.620843505859,322.940057373047,229.581631469727,58.2
